title,artist,album,albumArtist
Give Life Back to Music (feat. Nile Rodgers),Daft Punk,Random Access Memories,Daft Punk
Rain,Blackmill,Reach for Glory,Blackmill
Lucid Truth,Blackmill,Miracle,Blackmill
Motherboard,Daft Punk,Random Access Memories,Daft Punk
Bhula Dena,Mustafa Zahid,Aashiqui 2,"Jeet Gangulli, Ankit Tiwari, Mithoon"
The Game of Love,Daft Punk,Random Access Memories,Daft Punk
Sunn Raha Hai,Shreya Ghoshal,Aashiqui 2,"Jeet Gangulli, Ankit Tiwari, Mithoon"
Contact,Daft Punk,Random Access Memories,Daft Punk
Demons (feat. Micah Martin),WE ARE FURY,Signal Fires,WE ARE FURY
Lose Yourself to Dance (feat. Pharrell Williams),Daft Punk,Random Access Memories,Daft Punk
Stranger Days,Midnight Danger,Malignant Force,Midnight Danger
Tourniquet,TesseracT,Polaris,TesseracT
Within,Daft Punk,Random Access Memories,Daft Punk
Shelter,Porter Robinson & Madeon,Shelter,Porter Robinson & Madeon
ELEMENT.,Kendrick Lamar,DAMN.,Kendrick Lamar
HUMBLE.,Kendrick Lamar,DAMN.,Kendrick Lamar
Vachaadayyo Saami,Kailash Kher,Bharat Ane Nenu,Devi Sri Prasad
Bharat Ane Nenu (The Song Of Bharat),David Simon,Bharat Ane Nenu,Devi Sri Prasad
Sunn Raha Hai,Ankit Tiwari,Aashiqui 2,"Jeet Gangulli, Ankit Tiwari, Mithoon"
The Veldt (feat. Chris James) [8 Minute Edit],deadmau5,The Veldt (feat. Chris James),deadmau5
Say My Name (feat. Zyra),ODESZA,In Return,ODESZA
Beyond,Daft Punk,Random Access Memories,Daft Punk
The a la menthe (Instrumental),La Caution,Peines de Maures / Arc-en-ciel pour daltoniens (Instrumental Version),La Caution
Arctec Gemini,Meteor,Parallel Lives,Meteor
Fragments of Time (feat. Todd Edwards),Daft Punk,Random Access Memories,Daft Punk
Drift,Bicep,Bicep,Bicep
Eternity,Stellardrone,Light Years,Stellardrone
"Flips and Flops, Drips and Drops",Electric Mantis,Braincase (Deluxe),Electric Mantis
Get Lucky (feat. Pharrell Williams & Nile Rodgers),Daft Punk,Random Access Memories,Daft Punk
Giorgio by Moroder,Daft Punk,Random Access Memories,Daft Punk
In Dust / In Us,Binkbeats,"Private Matter Previously Unavailable, Pt. 1",Binkbeats
Interspace,Starcadian,Interspace,Starcadian
Makeba,Jain,Zanaka,Jain
Piya Aaye Na,K.K.,Aashiqui 2,"Jeet Gangulli, Ankit Tiwari, Mithoon"
Numb,Linkin Park,Meteora,Linkin Park
Little Nerves,Binkbeats,"Private Matter Previously Unavailable, Pt. 1",Binkbeats
Worst In Me,Unlike Pluto,Worst In Me,Unlike Pluto
Red Sun,Axel Thesleff,Red Sun,Axel Thesleff
Something For Your M.I.N.D.,Superorganism,Something For Your M.I.N.D.,Superorganism
Doctor D,VHS Glitch,Doctor D,VHS Glitch
Space Breaker,Waveshaper,Exploration 84,Waveshaper
Found Footage,Take/Five,Found Footage,Take/Five
Nothing Else Matters,Metallica,Metallica,Metallica
Beware of the Humans (feat. Celine & Vincenzo Salvia),Nightcrawler,Beware of the Humans,Nightcrawler
Alright,Kendrick Lamar,To Pimp A Butterfly,Kendrick Lamar
Hotline Bling,Drake,Views,Drake
Do Androids Dream Part 2,Andrew Bayer,Anjunabeats Worldwide 05,ilan Bluestone
Patience (Club Mix) (feat. Julie Thompson),Super8 & Tab,Anjunabeats Worldwide 05,ilan Bluestone
Color Field,Kyau & Albert,Anjunabeats Worldwide 05,ilan Bluestone
Atlas,Wrechiski & Jason Ross,Anjunabeats Worldwide 05,ilan Bluestone
Legion,Soundprank,Anjunabeats Worldwide 05,ilan Bluestone
Bonsai,ilan Bluestone,Anjunabeats Worldwide 05,ilan Bluestone
43,ilan Bluestone,Anjunabeats Worldwide 05,ilan Bluestone
Hello (Jerome Isma-Ae Remix),Above & Beyond,Anjunabeats Worldwide 05,ilan Bluestone
Cloudchaser,ilan Bluestone,Anjunabeats Worldwide 05,ilan Bluestone
Lotus,Fehrplay,Anjunabeats Worldwide 05,ilan Bluestone
Truth (Dabin Remix),Tristam,Monstercat 013 - Awakening,Various Artists
One More Time,Daft Punk,Discovery,Daft Punk
Moonbound,Anzo,Moonbound EP,Anzo
Pray For Me,The Weeknd,Black Panther The Album Music From And Inspired By,"Kendrick Lamar, The Weeknd & SZA"
Doin' it Right (feat. Panda Bear),Daft Punk,Random Access Memories,Daft Punk
Force of Nature,Miracle of Sound,Force of Nature,Miracle of Sound
Sunburn,Droeloe,A Moment In Time,Droeloe
Lark,Direct,Lark,Direct
Fly by Wire,Anevo,Fly by Wire,Anevo
Divinity (ODESZA Remix) (feat. Amy Millan),Porter Robinson,Worlds (Remixed),Porter Robinson
&Run,Sir Sly,"Don't You Worry, Honey",Sir Sly
Dayum,cln,Sideways EP,cln
Navajo,Masego,Navajo,Masego
Unspecial effects,deadmau5,stuff i used to do,deadmau5
Ready to Go (feat. KINGD�MS),ARUNA & Rameses B,Ready to Go (feat. KINGD�MS),ARUNA & Rameses B
Strobe,deadmau5,Strobe,deadmau5
Smoke And Mirrors,Imagine Dragons,Smoke + Mirrors,Imagine Dragons
I�m So Sorry,Imagine Dragons,Smoke + Mirrors,Imagine Dragons
Peace Of Mind (Extended Mix) (feat. Zo� Johnston),Above & Beyond,Anjunabeats Worldwide 05,ilan Bluestone
Aphasia,Mr FijiWiji,Aphasia,Mr FijiWiji
Generate,Eric Prydz,Opus,Eric Prydz
Separate Ways (Worlds Apart),Journey,Greatest Hits,Journey
The Trip,Still Corners,Strange Pleasures,Still Corners
Green Cathedral,Winterfylleth,The Dark Hereafter,Winterfylleth
Locke,PYLOT,Shadowtask - EP,PYLOT
Like It's Over (feat. MNDR),Jai Wolf,Like It's Over (feat. MNDR),Jai Wolf
Professional Griefers (feat. Gerard Way),deadmau5,> album title goes here <,deadmau5
Connection (Scandroid Remix),Scandroid,Dreams of Neo-Tokyo,Scandroid
Eden (Waveshaper Remix),Scandroid,Dreams of Neo-Tokyo,Scandroid
Calling Occupants of Interplanetary Crafts,The Cashburys,Mindhunter (Soundtrack Inspired by the TV Show),Fandom
The Awakening,Dance with the Dead,B-Sides: Vol. 1,Dance with the Dead
Turbo Killer,Carpenter Brut,TRILOGY,Carpenter Brut
Synergy,Andy James,Psychic Transfusion EP,Andy James
Pulse Power,Dynatron,Escape Velocity,Dynatron
Omniverse,S U R V I V E,Phantom Love: Selected Mannequin Records 2012,Various Artists
The Road to Memories,Distant Dream,It All Starts from Pieces,Distant Dream
Falling Leaf,Distant Dream,Your Own Story,Distant Dream
Reflection,Distant Dream,Your Own Story,Distant Dream
Darkest Moment,Distant Dream,Your Own Story,Distant Dream
Lost in the Universe,Distant Dream,Your Own Story,Distant Dream
Space Filled With Ether (feat. Pellumb Qerimi),Distant Dream,It All Starts from Pieces,Distant Dream
False Paradise,Widek,Dream Reflection,Widek
Drifting Imagination,Widek,Dream Reflection,Widek
Daydreamer,Widek,Dream Reflection,Widek
Bliss,Widek,Dream Reflection,Widek
Substance,Widek,Dream Reflection,Widek
Alarm #1202,Human Factor,Let Nature Take Its Course,Human Factor
A.L.F.,Human Factor,Let Nature Take Its Course,Human Factor
Lake of Solitude,Human Factor,Let Nature Take Its Course,Human Factor
Nubo Vetera Promesas Pluvon,Human Factor,Let Nature Take Its Course,Human Factor
Touch of Chicxulub,Human Factor,Let Nature Take Its Course,Human Factor
Longyear,Human Factor,Let Nature Take Its Course,Human Factor
Bird's Song,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
Euphoria,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
Your Wave Caresses Me,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
The Return of Thunder,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
New Horizons,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
Anxiety,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
The Frozen Moment,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
Phobia,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
Melba,Sunny Lax,Anjunabeats Worldwide 05,ilan Bluestone
Thin Floors And Tall Ceilings,ODESZA,A Moment Apart,ODESZA
Top of the World,Kimbra,Top of the World,Kimbra
Touch (feat. Paul Williams),Daft Punk,Random Access Memories,Daft Punk
My Only Chance,The Toxic Avenger,Furi (Original Game Soundtrack),Various Artists
Sway,Tove Styrke,Sway,Tove Styrke
Professional Rapper (feat. Snoop Dogg),Lil Dicky,Professional Rapper,Lil Dicky
This is not the end,Oh Hiroshima,Resistance is futile,Oh Hiroshima
Luminosity,Distant Dream,Your Own Story,Distant Dream
4ware,deadmau5,W:/2016ALBUM/,deadmau5
"Genius (feat. Sia, Diplo & Labrinth)",LSD,Genius,LSD
YOSEMITE,Travis Scott,ASTROWORLD,Travis Scott
Build the Cities (Empire of Sound) [feat. Kerli],Karma Fields & Tristam,Build the Cities (Reconstructions),Karma Fields
Reverse (feat. Stel Andre),Distant Dream,It All Starts from Pieces,Distant Dream
Rings in Rings in Rings,A Shell in the Pit,Rings in Rings in Rings,A Shell in the Pit
Genesis,Arkana,Genesis EP,Arkana
Pal,Arijit Singh,Pal - Monsoon Shootout,Rochak Kohli
Polaris,deadmau5,"We Are Friends, Vol. 6",Various Artists
Bloom,ODESZA,In Return,ODESZA
Echo (Zerothree Mix),Luke Chable,Comet EP,Luke Chable
Getting Away (feat. Mack),Vindata,Getting Away (feat. Mack),Vindata
Other Worlds,"Bassnectar, Dorfex Bos",Reflective (Part 2),Bassnectar
Psyopia (Bassnectar Remix),Naux Faux,Reflective (Part 2),Bassnectar
Observable Universe,Walking Across Jupiter,Scent,Walking Across Jupiter
I Feel Your Breath,Walking Across Jupiter,Scent,Walking Across Jupiter
Tensions Rising,Andromida,Voyager,Andromida
Sacrifice,Andromida,Voyager,Andromida
Discoveries,Andromida,Voyager,Andromida
First Contact,Andromida,Voyager,Andromida
No Way Home,Andromida,Voyager,Andromida
Thrown Into A Storm,Walking Across Jupiter,Scent,Walking Across Jupiter
Right To Life,Walking Across Jupiter,Scent,Walking Across Jupiter
Free (feat. Ronja),Axel Thesleff,Free (feat. Ronja),Axel Thesleff
Until It's Over,Distant Dream,Your Own Story,Distant Dream
False Paradise,Widek,Dream Reflection,Widek
Gradient Space,Distant Dream,Your Own Story,Distant Dream
Action-Reaction,Walking Across Jupiter,Scent,Walking Across Jupiter
Light Years from Home,Andromida,Voyager,Andromida
Victory & Lobby Redux,Stephen Barton,Apex Legends (Original Soundtrack),Stephen Barton
The Truth Was Revealed,Walking Across Jupiter,Scent,Walking Across Jupiter
Samum,Walking Across Jupiter,Scent,Walking Across Jupiter
Consistent,No/Me,Consistent,No/Me
Fade,IHF,Departure,IHF
Departure,IHF,Departure,IHF
Senseless (feat. Jenni Potts),IHF,Departure,IHF
Evolve,IHF,Departure,IHF
Awake,IHF,Departure,IHF
Timeless Colors,Distant Dream,It All Starts from Pieces,Distant Dream
Monophobia (feat. Rob Swire),deadmau5,mau5ville: Level 1,deadmau5
Drift,Tony Anderson,Drift,Tony Anderson
Snapped,Dance With The Dead,"Drive Radio Selection, Vol. 1",Various Artists
You Are The Jumpmaster,Stephen Barton,Apex Legends (Original Soundtrack),Stephen Barton
Choose Your Legend,Stephen Barton,Apex Legends (Original Soundtrack),Stephen Barton
Vita | Mortis,Arkana,Vita | Mortis,Arkana
Arps Of Revoluci�n,Bassnectar,Reflective (Part 1),Bassnectar
Banshee,Dance with the Dead,B-Sides: Vol. 1,Dance with the Dead
We're All We Need (ilan Bluestone Remix) (feat. Zo� Johnston),Above & Beyond,Anjunabeats Worldwide 05,ilan Bluestone
End Credits Part 2,Joel Nielsen,Black Mesa Soundtrack,Joel Nielsen
Chromatek,"Bassnectar, G. Jones",Reflective (Part 2),Bassnectar
Starlight (feat. Mr Gabriel),Jai Wolf,Starlight,Jai Wolf
End Credits Part 1,Joel Nielsen,Black Mesa Soundtrack,Joel Nielsen
Skybridges,Widek,Dream Reflection,Widek
Trust in Me,"Direct, Mr FijiWiji & Holly Drummond",Trust in Me - EP,Direct
Voyager,Andromida,Voyager,Andromida
Adventurer,Widek,Dream Reflection,Widek
Drive Home,Steven Wilson,Transience,Steven Wilson
Endless Destination,Distant Dream,Your Own Story,Distant Dream
Enter & Escape,Widek,Dream Reflection,Widek
Around The World,Daft Punk,Homework,Daft Punk
Take Off,ilan Bluestone,Anjunabeats Worldwide 05,ilan Bluestone
Walking Across Jupiter - Blossom,Walking Across Jupiter,Blossom,Walking Across Jupiter
Joi,Hans Zimmer,Blade Runner 2049 (Original Motion Picture Soundtrack),Hans Zimmer & Benjamin Wallfisch
Memento Mori (Instrumental),Aephanemer,Memento Mori,Aephanemer
Instant Crush (feat. Julian Casablancas),Daft Punk,Random Access Memories,Daft Punk
Waiting for Silence,Distant Dream,It All Starts from Pieces,Distant Dream
Blue Lights,Jorja Smith,Blue Lights,Jorja Smith
Imaginary Friends,deadmau5,W:/2016ALBUM/,deadmau5
Fading Memories,Widek,Dream Reflection,Widek
Only Time,Enya,A Day Without Rain,Enya
Images,Distant Dream,Your Own Story,Distant Dream
Who We Want to Be,Tom Day,2012,Tom Day
A Touch of the Sky,Distant Dream,It All Starts from Pieces,Distant Dream
Vanity,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
Despair,The Last Sighs of the Wind,We Are Trees,The Last Sighs of the Wind
Light Years,Stellardrone,Light Years,Stellardrone
Red Shift,Human Factor,Let Nature Take Its Course,Human Factor
Odal,Agalloch,The Mantle,Agalloch
The Drift,Blackmill,Miracle,Blackmill
Lights (Original Mix) (feat. Circe Electro),M.A.D.E.S,Motor,M.A.D.E.S
-27,Walking Across Jupiter,Scent,Walking Across Jupiter
Cube,Walking Across Jupiter,Scent,Walking Across Jupiter
A Bright but Distant Future,Karma Fields,New Age | Dark Age,Karma Fields
Harder Better Faster Stronger,Daft Punk,Discovery,Daft Punk
Dead of Night,Dance With The Dead,The Rise of the Synths Ep1 (The Official Companion Album),Various Artists
Fuel,Metallica,Reload,Metallica
Super Human (feat. Asbj�rn),Andrew Bayer,Anjunabeats Worldwide 05,ilan Bluestone
Aerodynamic,Daft Punk,Discovery,Daft Punk
The Mind's Journey,Widek,Dream Reflection,Widek
Lean on Me,Bill Withers,Lean on Me: The Best of Bill Withers,Bill Withers
Veridis Quo,Daft Punk,Discovery,Daft Punk
Vector,Arkana,Genesis EP,Arkana
